,Raga,Arohanam,Avarohanam
206,Haridarpa,S R1 G3 M1 P D2 N3 S,S D2 P M1 R1 S
207,Jayasamvardhani,S G3 M1 P D2 N3 S,S N3 P M1 G3 R1 S
208,Jeevantika,S R1 M1 P D2 N3 S,S N3 D2 P M1 R1 S
209,Kusumamaruta,S M1 P D2 N3 S,S N3 D2 P M1 G3 R1 G3 M1 S
210,Nagachoodamani,S R1 G3 M1 P D2 S,S D2 N2 D2 P M1 G3 M1 R2 S
211,Rohini,S R1 G3 M1 M2 D2 N3 S,S N3 D2 M2 M1 G3 R1 S
212,Samakannada,S R2 M1 G2 M1 P D2 N3 S,S N3 D2 P M1 R1 S
213,Sowrashtram,S R1 G3 M1 P M1 D2 N3 S,S N3 D2 N2 D2 P M1 G3 R1 S
214,Suddha Gowla,S R1 M1 P N3 S,S N3 P M1 R1 S
215,Supradeepam,S R1 M1 P D2 N3 S,S N3 D2 P M1 G3 M1 R1 S
216,Vasantha,S M1 G3 M1 D2 N3 S,S N3 D2 M1 G3 R1 S
217,18 Hatakambari,S R1 G3 M1 P D3 N3 S,S N3 D3 P M1 G3 R1 S
218,Jayashuddhamalavi,S R1 G3 M1 P N3 S,S N3 D3 P M1 G3 R1 S
219,Hamsanantini,S G3 M1 P S,S P M1 G3 R1 S
220,Kallola,S P D3 N3 S,S N3 D3 P M1 G3 R1 S
221,Simhala,S R1 G3 M1 P D3 N3 S,S N3 D3 N3 P M1 G3 R1 S
222,19 Jhankaradhvani,S R2 G2 M1 P D1 N1 S,S N1 D1 P M1 G2 R2 S
223,Jhankarabhramari,S R2 G2 M1 P D1 N1 D1 P D1 S,"S N1 D1 P M1 G2 R2 S"
223,Jhankarabhramari,S R2 G2 M1 P D1 S,"S N1 D1 P M1 G2 R2 S"
223,Jhankarabhramari,S R2 G2 M1 P D1 N1 D1 S,"S D1 P M1 G2 R2 S"
223,Jhankarabhramari,S R2 G2 M1 P D1 N1 D1 S,"S N1 D1 P M1 G2 R2 S"
223,Jhankarabhramari,S G2 R2 G M1 P D1 N1 D1 S,"S N1 D1 P M1 G2 R2 G R2 S"
223,Jhankarabhramari,S R2 G2 M1 P D1 N1 D1 S,"D1 N1 D1 P M1 G2 R2 S"
224,Bharati,S R2 G2 M1 P S,S P M1 G2 R2 S
225,Chittaranjani,S R2 G2 M1 P D1 N1,N1 D1 P M1 G2 R2 S
226,Jalmika,S R2 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 S R2 S
227,Lalitabhairavi,S G2 M1 P D1 S,S N1 D1 P M1 G2 R2 S
228,Poornalalita,S G2 R2 M1 P S,S N1 D1 P M1 G2 R2 S
228,Poornalalita,S G2 R2 G2 R2 M1 P S,S N1 D1 P M1 G2 R2 S
228,Poornalalita,S R2 G2 R2 M1 P S,S N1 D1 P M1 G2 R2 S
228,Poornalalita,S R2 G2 M1 P S,S N1 D1 P M1 G2 R2 S
228,Poornalalita,S G2 R2 G2 M1 P S,S N1 D1 P M1 G2 R2 S
229,20 Natabhairavi,S R2 G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R2 S
230,Nareretigowla,S G2 R2 G2 M1 N2 D1 M1 N2 N2 S,S N2 D1 M1 G2 M1 P M1 G2 R2 S
231,Abheri (Dikshitar School),S M1 G2 M1 P P S,S N2 D2 P M1 G2 R2 S
232,Anandabhairavi,S G2 R2 G2 M1 P D2 P S,S N2 D2 P M1 G2 R2 S
233,Amrithavahini,S R2 M1 P D1 N2 S,S N2 D1 M1 G2 R2 S
234,Bhairavi,S G2 R2 G2 M1 P D2 N2 S,S N2 D1 P M1 G2 R2 S
235,Bhuvanagandhari,S R2 M1 P N2 S,S N2 D1 P M1 G2 S
236,Chapagantarva,S G2 M1 P N2,D1 M1 G2 R2 S N2
237,Darbari Kanada,N2 S R2 G2 R2 S M1 P D1 N2 S,S D1 N2 P M1 P G2 M1 R2 S
238,Devakriya,S R2 M1 P N2 S,S N2 D1 N2 P M1 G2 R2 S
239,Dhanashree,N2 S G2 M1 P N2 S,S N2 D1 P M1 G2 R1 S
240,Dharmaprakashini,S R2 M1 P N2 S,S N2 D1 M1 G2 R2 S
241,Dilipika Vasantha,S G2 M1 P D1 P N2 S,S D1 P M1 R2 S
242,Divyagandhari,S G2 M1 P D1 N2 S,S N2 P M1 G2 S
243,Gopikavasantam,S R2 G2 M1 P D1 P N2,S N2 D1 P M1 G2 R2 S
244,Hindolam,S G2 M1 D1 N2 S,S N2 D1 M1 G2 S
245,Hindolavasanta,S G2 M1 P D1 N2 D1 S,S N2 D1 P M1 D2 M1 G2 S
246,Indughantarava,S G2 M1 P D1 P,N2 D1 P M1 G2 R2 S N2
247,Jayanthashri,S G2 M1 D1 N2 S,S N2 D1 M1 P M1 G2 S
248,Jingala,S R2 G2 M1 P D1 N2 D1 P S,S N2 D1 P M1 G2 R2 S
249,Jonpuri,S R2 M1 P D1 N2 S,S N2 D1 P M1 G2 R2 S
250,Katyayani,S R2 G2 P D1 S,S D1 P G2 R2 S
251,Kanakavasantham,S G2 M1 P N2 D1 S,S N2 D1 P M1 G2 R2 S
