,Raga,Arohanam,Avarohanam
901,Hameer Kalyani,S R2 G3 M2 P D2 N3 P D2 P S,S N3 D2 P G3 M1 G3 R2 S
901,Hameer Kalyani,S P M2 P D2 N3 S,S N3 D2 P G3 M1 G3 R2 S
902,Hamsakalyani,S R2 G3 P N3 S,S N3 D2 P M2 G3 R2 S
903,Kalyanadayini,S R2 G3 M2 D2 N3 S,S N3 D2 M2 G3 R2 S
904,Kannadamaruva,S G3 M2 P D2 N3 S,S N3 D2 P M2 G3 S
905,Kowmoda,S R2 G3 M2 N3 S,S N3 P M2 G3 S
906,Kunthalashreekanti,S G3 M2 P D2 N3 S,S N3 P M2 G3 R2 S
907,Mohana Kalyani,S R2 G3 P D2 S,S N3 D2 P M2 G3 R2 S
908,Mrganandhana,S R2 G3 D2 N3 S,S N3 D2 M2 D2 G3 R2 S
909,Nadhakalyani,S G3 M2 D2 N3 S,S N3 D2 M2 G3 M2 R2 S
910,Pramodhini,S G3 M2 P D2 S,S D2 P M2 G3 S
911,Saranga,S R2 G3 M2 P D2 N3 S,S N3 D2 P M2 R2 G3 M1 R2 S
911,Saranga,S R2 S P M2 P D2 N3 S,S N3 S D2 P M2 R2 G3 M1 R2 S
911,Saranga,S P M2 P D2 N3 S,S N3 D2 P M2 R2 G3 M1 R2 S
912,Saranga Tarangini,S R2 M2 P D2 N3 S,S N3 D2 P M2 R2 S
913,Shilangi,S G2 M2 P N3 S,S N3 P M2 G2 S
914,Suddha Koshala,S G3 M2 P S,S N3 D2 M2 G3 R2 S
915,Sunadavinodini,S G3 M2 D2 N3 S,S N3 D2 M2 G3 S
916,Swayambhooshwara Raga,S G3 P S,S P G3 S
917,Vandanadharini,S R2 M2 P D2 S,S D2 P M2 R2 S
918,Yamuna Kalyani,S R2 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 M1 G3 R2 S
919,66 Chitrambari,S R2 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R2 S
920,Chaturangini,S R2 G3 M2 P N3 S,S N3 D3 N3 P G3 M2 G3 R2 S
921,Amritavarshini,S G3 M2 P N3 S,S N3 P M2 G3 S
922,Chitrasindhu,S G3 M2 P N3 S,S N3 D3 P M2 G3 R2 S
923,Churnikavinodhini,S R2 G3 M2 P D3 N3 S,S N3 D3 N3 P M2 G3 R2 S
924,Vijayakoshalam,S R2 G3 M2 P S,S N3 P M2 G3 S
925,67 Sucharitra,S R3 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R3 S
926,Santhana Manjari,S R3 G3 M2 P D1 S,S N1 D1 P M2 R3 S
927,68 Jyothiswaroopini,S R3 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R3 S
928,Jyothi,S R3 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 S
929,Deepavarali,S R3 M2 P N2 S,S N2 P M2 G3 R3 S
930,Jyothishmathi,S R3 G3 M2 P S,S N2 D1 M2 P M2 G3 R3 S
931,Ramagiri,S R3 M2 G3 M2 P D1 N2 S,S D1 N2 D1 P M2 G3 R3 S
932,69 Dhatuvardhani,S R3 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R3 S
933,Dhowtha Panchamam,S R3 G3 M2 P N3 P S,S N3 D1 P M2 R3 G3 M2 R3 S
934,Dhwithiyapanchamam,S R3 G3 M2 P N3 P S,S N3 D1 P M2 R3 M2 G3 R3 S
935,Sumukham,S R3 M2 N3 S,S N3 M2 R3 S
936,Tavapriya,S R3 M2 P N3 S,S N3 D1 P M2 G3 R3 S
937,70 Nasikabhooshhani,S R3 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R3 S
938,Nasamani,S R3 S M2 P D2 N2 S,S N2 D2 P M2 G3 R3 S
939,Marakathagowla,S R3 M2 P D2 N2 S,S N2 D2 P M2 G3 R3 S
940,Thilakamandari,S R3 M2 P D2 S,S D2 P M2 G3 R3 S
941,71 Kosalam,S R3 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R3 S
942,Kusumakaram,S R3 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R3 S
943,Ayodhya,S G3 M2 P N3 S,S D2 P M2 G3 M2 R3 S
944,72 Rasikapriya,S R3 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R3 S
945,Rasamanjari,S R3 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R3 S
946,Hamsagiri,S R3 G3 M2 P D3 N3 S,S N3 P D3 N3 P M2 G3 S
947,Ishtarangini,S R3 M2 P N3 S,S N3 D3 P M2 G3 R3 S
948,Nagagiri,S G3 M2 P D2 P S,S D2 P M2 G3 S
